grid,layout,rows,cols,n_states,seed,training_episodes,training_time_seconds,episodes_per_second,success_rate,ghost_rate,timeout_rate,mean_return,return_std,mean_steps,mean_optimal_steps,mean_efficiency_ratio,optimal_path_rate
8x8,6,8,8,64,3,3000,0.6597519000060856,4547.163865647568,1.0,0.0,0.0,4.175,3.002394877427018,6.825,6.825,1.0,1.0
8x8,6,8,8,64,4,3000,0.6629450999898836,4525.261594128653,1.0,0.0,0.0,3.74,3.384139477031052,7.26,7.26,1.0,1.0
8x8,7,8,8,64,0,3000,1.0009734999621287,2997.0823404550706,1.0,0.0,0.0,0.865,3.4995392553877718,10.135,10.135,1.0,1.0
8x8,7,8,8,64,1,3000,1.005387800047174,2983.923218343445,1.0,0.0,0.0,1.54,3.522555890259231,9.46,9.46,1.0,1.0
8x8,7,8,8,64,2,3000,1.0088271000422537,2973.750407650972,1.0,0.0,0.0,1.135,3.4360988053314188,9.865,9.865,1.0,1.0
8x8,7,8,8,64,3,3000,0.9714075999800116,3088.3019651706763,1.0,0.0,0.0,0.795,3.4746186841148483,10.205,10.205,1.0,1.0
8x8,7,8,8,64,4,3000,0.994050299981609,3017.9559324669017,1.0,0.0,0.0,0.92,3.9564630669323835,10.08,10.08,1.0,1.0
8x8,8,8,8,64,0,3000,0.7117231000447646,4215.122425858191,1.0,0.0,0.0,3.925,2.983182025958188,7.075,7.075,1.0,1.0
8x8,8,8,8,64,1,3000,0.6969363000243902,4304.55408893899,1.0,0.0,0.0,3.455,2.6453685943550473,7.545,7.545,1.0,1.0
8x8,8,8,8,64,2,3000,0.7565101999789476,3965.577727945353,1.0,0.0,0.0,3.52,2.9154073471815223,7.48,7.48,1.0,1.0
8x8,8,8,8,64,3,3000,0.729766600066796,4110.903403533963,1.0,0.0,0.0,3.56,2.6488488065572935,7.44,7.44,1.0,1.0
8x8,8,8,8,64,4,3000,0.7274040000047535,4124.255571842326,1.0,0.0,0.0,3.76,3.0744755650354416,7.24,7.24,1.0,1.0
8x8,9,8,8,64,0,3000,0.5180882000131533,5790.519837980938,1.0,0.0,0.0,6.105,2.4685977801172876,4.895,4.895,1.0,1.0
8x8,9,8,8,64,1,3000,0.6126447999849916,4896.801539935528,1.0,0.0,0.0,5.795,2.3943631721190504,5.205,5.205,1.0,1.0
8x8,9,8,8,64,2,3000,0.5143013999331743,5833.15542285089,1.0,0.0,0.0,5.86,2.626861244908075,5.14,5.14,1.0,1.0
8x8,9,8,8,64,3,3000,0.5201789001002908,5767.246613466248,1.0,0.0,0.0,5.975,2.3925666134927153,5.025,5.025,1.0,1.0
8x8,9,8,8,64,4,3000,0.5201399000361562,5767.679041333808,1.0,0.0,0.0,6.065,2.694582527962356,4.935,4.935,1.0,1.0
8x8,10,8,8,64,0,3000,0.6625909999711439,4527.679971702983,1.0,0.0,0.0,4.48,2.942719830361022,6.52,6.52,1.0,1.0
8x8,10,8,8,64,1,3000,0.6297649999614805,4763.681691080791,1.0,0.0,0.0,5.245,2.7613357275058026,5.755,5.755,1.0,1.0
8x8,10,8,8,64,2,3000,0.6241754000075161,4806.3412943923695,1.0,0.0,0.0,4.725,2.7819732205756402,6.275,6.275,1.0,1.0
8x8,10,8,8,64,3,3000,0.6185996000422165,4849.66365932869,1.0,0.0,0.0,4.99,2.6869871603712587,6.01,6.01,1.0,1.0
8x8,10,8,8,64,4,3000,0.6347454000497237,4726.30443602268,1.0,0.0,0.0,4.635,2.780606948132008,6.365,6.365,1.0,1.0
10x10,1,10,10,100,0,3000,1.0123167999554425,2963.4991735117364,1.0,0.0,0.0,2.14,3.839322856963191,8.86,8.86,1.0,1.0
10x10,1,10,10,100,1,3000,1.032608599984087,2905.263427058647,1.0,0.0,0.0,2.35,4.119162536244473,8.65,8.65,1.0,1.0
